Name|HPI Facility Id|Address|OpeningDate|DHB Name|Fac Type|Facility Type Name|HPI Organisation Id|Organisation Legal Name|NZGD2K X|NZGD2K Y|Meshblock
1 Health|F3S777-K|1 Henry Wigram Drive, Wigram, Christchurch 8042|27/11/2023|Canterbury District Health Board|gpenrol|Enrolling GP Practice|G0M324-C|1 Health Limited|172.544435|-43.544952|2481401
109 Doctors|F2V058-J|Floor 3, 109 Queen Street, Auckland Central|01/08/2008|Auckland District Health Board|gpenrol|Enrolling GP Practice|G00989-F|Dr Shiu Medical Limited|174.765846|-36.846201|0433200
123 Clinic|F3L571-D|17 Norfolk Street, Regent, Whangarei 0112|24/08/2017|Northland District Health Board|dhboutreach|DHB Outreach Clinic|G0F833-E|Northland DHB 123 Clinic|174.321749|-35.720615|0097300
123 Vivian Street Specialists|F1T024-J|123 Vivian Street, New Plymouth 4310|01/08/2001|Taranaki District Health Board|specialist|Community Specialist – unspecified |G0L855-G|123 Vivian Street Specialists Limited|174.065982|-39.062368|1589900
168 Medical Centre|F2K013-C|170 Sandringham Road, Sandringham, Auckland 1025|01/11/2002|Auckland District Health Board|gpenrol|Enrolling GP Practice|G05464-F|168 Medical Centre Limited|174.740943|-36.877983|0536700
169 Medical Centre|F2G083-J|169 Russell Street, Palmerston North 4414|01/10/2001|Mid Central District Health Board|gpenrol|Enrolling GP Practice|G04708-C|169 Medical Centre Limited|175.618998|-40.347928|4001077
17 Munich Place Residential|F39094-H|17 Munich Place, Woolston, Christchurch|11/10/2001|Canterbury District Health Board|rescare|Residential Support / Housing / Respite care facilities|G00304-C|Pukeko Blue Limited|172.691879|-43.540472|2580200
188 Specialist Centre|F2T060-H|188 St Heliers Bay Road, St Heliers, Auckland 1071|01/01/2004|Auckland District Health Board|specialist|Community Specialist – unspecified |G0G066-D|188 Specialist Centre Limited|174.858441|-36.861574|0466104
1RM Physio Clinic|F0L007-A|Level 2, 4 Puriri Avenue, Greenlane, Auckland 1051|01/04/2006|Auckland District Health Board|physio|Community Physiotherapy |G00901-K|Physical Performance Therapies Limited|174.794958|-36.892072|0617000
1st Avenue Tauranga|F3P491-K|87 First Avenue, Tauranga 3110|28/05/2021|Bay of Plenty District Health Board|covidvac|Vaccination/Immunisation Facilities|G00031-E|Bay of Plenty District Health Board|176.166909|-37.687919|1165800
20/20 Eyecare|F2Z095-B|Unit C3, 15 Gooch Place, Somerville, Auckland 2014|01/01/2009|Counties Manukau District Health Board|optometry|Community Optometry|G06144-D|20/20 Eyecare Limited|174.928173|-36.912113|0711023
3 Kings Plaza Pharmacy|F1Y068-K|536 Mount Albert Road, Three Kings, Auckland 1042|01/07/2006|Auckland District Health Board|pharm|Community Pharmacy|G0K816-C|FCP 3 Kings Plaza Limited|174.754828|-36.909286|0563800
32 Gems Dental Care|F1Q059-B|131 Queens Drive, Hutt Central, Lower Hutt 5010|06/04/2001|Hutt Valley District Health Board|dental|Community Dental |G02855-F|32 Gems Dental Care Limited|174.906734|-41.208187|1967600
360 Health|F3Q561-K|360 Moray Place, Dunedin Central, Dunedin 9016|08/02/2022|Southern District Health Board|gms|General Medical Services|G0J645-H|Health and Human Performance Limited|170.505579|-45.874196|2903200
3M New Zealand - Non-Dispensing Pharmacy|F3D016-G|94 Apollo Drive, Rosedale, Auckland 0632|01/01/2013|Waitemata District Health Board|ndisppharm|Non Dispensing Pharmacies|G07464-E|3M New Zealand Limited|174.726719|-36.736901|0180866
4 Square Hanmer Springs Supermarket|F3G061-E|12 Conical Hill Road, Hanmer Springs 7334|01/01/2013|Canterbury District Health Board|ndisppharm|Non Dispensing Pharmacies|G07734-H|Steele's Hanmer Food Market Limited|172.829393|-42.521252|2427102
494 D|F2U057-B|494 Dee Street, Gladstone, Invercargill 9810|01/01/2008|Southern District Health Board|dhbmhunit|DHB Mental Health Unit|G02328-E|Southern District Health Board|168.3471|-46.391254|3117200
4th Medical Company Clinic|F0L014-J|State Highway 1, 4th Medical Company Waiouru Military Camp, Waiouru, Manawatu|01/04/2006||armclinic|Armed Forces Health Clinic|G07651-D|New Zealand Defence Force|||
52 Macdonald St Housing & Recovery Services|F39035-C|52 MacDonald Street, Hapara, Gisborne|03/09/2012|Tairawhiti District Health Board|rescare|Residential Support / Housing / Respite care facilities|G0B149-E|Emerge Aotearoa Limited|177.990785|-38.655454|1368200
547 Wholesalers Limited|F3D017-J|533 Grey Street, Hamilton East, Hamilton 3216|01/01/2013|Waikato District Health Board|ndisppharm|Non Dispensing Pharmacies|G07465-G|547 Wholesalers Limited|175.291366|-37.788619|0894900
5th Ave on 10th|F3L939-B|2/71 Tenth Avenue, Tauranga 3110|01/08/2018|Bay of Plenty District Health Board|gpenrol|Enrolling GP Practice|G04418-E|Fifth Avenue Family Practice Associateship|176.158629|-37.695919|1166400
5th Dimension Health|F3U279-D|46 Tamahere Drive, Tamahere, Hamilton 3283|24/04/2025||gpenrol|Enrolling GP Practice|G0E493-B|5th Dimension Health Limited|||
7 St Vincent Care Home|F3U655-F|7 St Vincent Avenue, Remuera, Auckland 1050|21/08/2025|Auckland District Health Board|agedcare|Aged Care facilities |G0J666-E|Metlifecare Retirement Villages Limited|174.798556|-36.881604|4006109
701 Begin Again|F3U886-C|701 Worcester Street, Linwood, Christchurch 8062|04/12/2025|Canterbury District Health Board|psychiatry|Psychiatry|G10389-K|Dr Robert John MOORE|172.674738|-43.526082|4008617
8+1 Acupuncture Clinic|F3S166-C|21E Belgium Street, Ostend, Waiheke Island 1081|26/07/2023|Auckland District Health Board|acupuncture|Acupuncture|G0B080-F|8 Bodytypes Limited|175.046282|-36.795979|0515314
9 Munich Place Residential|F39098-E|9 Munich Place, Woolston, Christchurch|01/06/2001|Canterbury District Health Board|rescare|Residential Support / Housing / Respite care facilities|G00304-C|Pukeko Blue Limited|172.691794|-43.540247|2580200
A Glenny Orthopaedics|F3T562-E|64 Fulford Street, New Plymouth 4310|27/08/2024|Taranaki District Health Board|orthopaedic|Orthopaedics|G0A402-H|A Glenny Orthopaedics Limited|174.06814|-39.062355|1589900
A M Dental|F0L053-H|193 Milton Street, The Wood, Nelson 7010|01/04/2006|Nelson Marlborough District Health Board|dental|Community Dental |G01476-D|AM Dental Limited|173.29497|-41.272777|2318800
