name,address,pho,dhb,enrolled,accepting_patients,sa3_name,region,nz_dep,sa3_pop,sa3_maori_pct,sa3_pasifika_pct,nearest_ed,nearest_ed_km,nearest_afterhours,nearest_afterhours_km
"Paihia Medical Services","2/22 Selwyn Road, Paihia 0200","Mahitahi Hauora","Northland District Health Board",5100,true,"Bay of Islands","Northland Region",7,7806,29.7,3.5,"BOI Hospital Emergency Department",11.6,"Mid North After Hours",14.2
"Papamoa Pines Medical @ Whitiora","191 The Boulevard, Papamoa Beach, Papamoa 3118","Western Bay of Plenty","Bay of Plenty District Health Board",7300,true,"Papamoa Beach","Bay of Plenty Region",4.2,34524,18.1,3.5,"Tauranga Hospital Emergency Department",16.9,"Poutiri Wellness Centre",6.7
"Toi Ora Health Satellite","32 King Street, Opotiki 3122","Eastern Bay Primary Health Alliance","Bay of Plenty District Health Board",1800,true,"Ōpōtiki","Bay of Plenty Region",9.1,4839,68.6,5.2,"Whakatane Hospital - Emergency Department",27.4,"Whakatāne Hospital ED - GP Clinic",27.4
"Health I-CARE","215 Wairau Road, Wairau Valley, Auckland 0627","ProCare","Waitemata District Health Board",5200,true,"Glenfield","Auckland Region",5.3,16851,7.1,5.5,"North Shore Hospital Emergency Department",2.4,"White Cross Glenfield - Urgent Care & GP",1.8
"Family Doctors - Brookfield","223 Otumoetai Road, Otumoetai, Tauranga 3110","Western Bay of Plenty","Bay of Plenty District Health Board",9975,true,"Otūmoetai","Bay of Plenty Region",4.3,8337,12.9,2.1,"Tauranga Hospital Emergency Department",3,"Fifth Avenue Family Practice",2.5
"Mahora Medical Centre","1/900 Tomoana Road, Mahora, Hastings 4120","Health Hawkes Bay","Hawkes Bay District Health Board",2100,true,"Mahora","Hawke's Bay Region",7.5,6030,27.1,8.0,"Hawkes Bay DHB - ED",1.9,"Hastings Health Centre",1.1
"Long Bay Medical Centre","55A Glenvar Ridge Road, Long Bay, Auckland 0630","Comprehensive Care","Waitemata District Health Board",12600,true,"Long Bay","Auckland Region",1,3141,3.0,1.3,"North Shore Hospital Emergency Department",10.3,"Shorecare Greville Road",4.5
"Kensington Health","8 Kensington Avenue, Kensington, Whangarei 0112","Mahitahi Hauora","Northland District Health Board",7288,true,"Kensington (Whangarei District)","Northland Region",9,5727,30.4,5.1,"Whangarei Hospital Emergency Department",3.3,"Whangarei White Cross",2.2
"Hillside Medical Centre","711 Richardson Road, Hillsborough, Auckland 1042","ProCare","Auckland District Health Board",1650,true,"Waikowhai","Auckland Region",3,1971,4.4,9.1,"Auckland Hospital Emergency Department",7.5,"Three Kings Accident & Medical",1.9
"Roskill Union and Lynfield Medical Clinic","1/15 The Avenue, Mount Roskill, Auckland 1041","ProCare","Auckland District Health Board",3920,true,"Lynfield","Auckland Region",5,7866,4.8,8.9,"Auckland Hospital Emergency Department",8.3,"Local Doctors Mt Roskill - Urgent Care & GP",1.5
"New Windsor Medical Centre","275 New Windsor Road, New Windsor, Auckland 0600","ProCare","Auckland District Health Board",1275,true,"New Windsor","Auckland Region",7.1,7737,8.1,18.4,"Auckland Hospital Emergency Department",7.3,"Local Doctors Mt Roskill - Urgent Care & GP",1
"Blockhouse Bay Medical Centre","503 Blockhouse Bay Road, Blockhouse Bay, Auckland 0600","ProCare","Auckland District Health Board",4532,true,"Blockhouse Bay","Auckland Region",5.5,13110,6.1,10.9,"Waitakere Hospital Emergency Department",8.7,"HEALTH NEW LYNN",2.2
"Upper Harbour Medical Centre","393 Hobsonville Road, Hobsonville, Auckland 0618","ProCare","Waitemata District Health Board",3316,true,"Hobsonville","Auckland Region",1.5,14028,5.7,3.7,"Waitakere Hospital Emergency Department",8,"North West Medical Centre - Hobsonville",1.7
"Marsden Cove Medical Centre","1A Ngawaka Lane, One Tree Point 0118","Mahitahi Hauora","Northland District Health Board",9281,true,"Bream Bay","Northland Region",6.6,8145,25.0,4.4,"Whangarei Hospital Emergency Department",18.8,"Whangarei White Cross",17.7
"Clendon Medical Centre","15 Palmers Road, Clendon Park, Auckland 2103","ProCare","Counties Manukau District Health Board",8000,true,"Clendon Park","Auckland Region",10,8463,29.2,54.8,"Middlemore Hospital Emergency Department",8.2,"Local Doctors Browns Road - Urgent Care & GP",1.9
